Id,Label,Publication,V,P,DOI,Title,Publication_Year,Document_Type,WoS_ID,Citation_context,Explanans,Explanadum,Combined_Title_Classification,Serum_cholesterol _(SC),Blood_Pressure_(BP),Coffee_(C) ,Diet_(D),Smoking_(S),Alcohol_(A),Physical_Activity_(PA),Body_Fatness_(BF),Indegree,Outdegree,Main_component,Cluster,Cluster_Name
261,ROSENMAN RH, MED CLIN N AM, V58, P269, 10.1016/S0025-7125(16)32158-7,NEUROGENIC FACTORS IN PATHOGENESIS OF CORONARY HEART-DISEASE,1974,Article,WOS:A1974S443800004,Yes,NERVOUS SYSTEM,CHD,Unspecified CHD,,,,,,,,,1,3,Yes,0,Serum cholesterol and Unspecified CHD 
262,CRUESSCALLAGHAN A, IRISH J MED SCI, V143, P238, 10.1007/BF03004769,"COMMUNITY SCREENING FOR CORONARY HEART-DISEASE RISK-FACTORS - RESULTS OF SCREENING IN 10,000 ADULT MALES",1974,Article,WOS:A1974T856600007,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,S,,,,0,1,No,,
263,GLUECK CJ, AM J DIS CHILD, V128, P569, 10.1001/ARCHPEDI.1974.02110290139025,HYPERCHOLESTEROLEMIA AND HYPERTRIGLYCERIDEMIA IN CHILDREN - PEDIATRIC APPROACH TO PRIMARY ATHEROSCLEROSIS PREVENTION,1974,Review,WOS:A1974U388700023,Yes,BLOOD LIPIDS,CHD,BLOOD LIPIDS,,,,D,,,,,0,7,Yes,0,Serum cholesterol and Unspecified CHD 
264,JICK H, JAMA-J AM MED ASSOC, V227, P801, 10.1001/JAMA.1974.03230200059021,COFFEE-DRINKING AND MYOCARDIAL-INFARCTION,1974,Letter,WOS:A1974S086900019,Yes,CAFFEINE,CHD,CAFFEINE,,,C,,,,,,0,2,Yes,2,Caffeine 
265,KLATSKY AL, JAMA-J AM MED ASSOC, V227, P802, 10.1001/JAMA.1974.03230200059022,COFFEE-DRINKING AND MYOCARDIAL-INFARCTION,1974,Letter,WOS:A1974S086900020,Yes,CAFFEINE,CHD,CAFFEINE,,,C,,,,,,0,2,Yes,2,Caffeine 
266,KLEVAY LM, AM J CLIN NUTR, V27, P1202,,CORONARY HEART-DISEASE AND DIETARY FIBER,1974,Letter,WOS:A1974U801400004,Yes,DIET,CHD,DIET,,,,D,,,,,0,7,Yes,3,Diet 
267,MARGOLIS JR, AM J EPIDEMIOL, V100, P425, 10.1093/OXFORDJOURNALS.AJE.A112054,COMMUNITY SURVEILLANCE FOR CORONARY HEART-DISEASE - FRAMINGHAM CARDIOVASCULAR-DISEASE SURVEY - METHODS AND PRELIMINARY RESULTS,1974,Article,WOS:A1974V448000001,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,0,3,Yes,1,Blood pressure and Unspecified CHD 
268,PUNKE HH, J SCHOOL HEALTH, V44, P551, 10.1111/J.1746-1561.1974.TB01920.X,CAFFEINE IN AMERICAS FOOD AND DRUG HABITS,1974,Article,WOS:A1974U968300004,Yes,CAFFEINE,UNSPECIFIED,CAFFEINE,SC,BP,C,D,S,A,PA,BF,0,6,Yes,2,Caffeine 
269,HAGERUP LM, ACTA MED SCAND, P1,,,CORONARY HEART-DISEASE RISK-FACTORS IN MEN AND WOMEN,1974,Article,WOS:A1974T059300001,Inaccessible,,,,,,,,,,,,1,8,Yes,1,Blood pressure and Unspecified CHD 
270,VERNET A, SCHWEIZ MED WSCHR, V105, P296,,ARTERIAL AND RENAL RISK-FACTORS IN DIABETES,1975,Article,WOS:A1975V764300002,Foreign,,,,,,,,,,,,0,4,Yes,1,Blood pressure and Unspecified CHD 
271,HEYDEN S, LEBER MAGEN DARM, V5, P30,,"CAFFEINE, LIPID-METABOLISM AND RISK OF MYOCARDIAL-INFARCTION",1975,Article,WOS:A1975V949200006,Foreign,,,,,,,,,,,,0,9,Yes,2,Caffeine 
272,ARONOW WS, J AM GERIATR SOC, V23, P121, 10.1111/J.1532-5415.1975.TB00971.X,"MASS SCREENING FOR CORONARY RISK-FACTORS IN 2,524 ASYMPTOMATIC ADULTS",1975,Article,WOS:A1975V709400004,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,S,,,,1,6,Yes,0,Serum cholesterol and Unspecified CHD 
273,KEYS A, ATHEROSCLEROSIS, V22, P149, 10.1016/0021-9150(75)90001-5,CORONARY HEART-DISEASE - GLOBAL PICTURE,1975,Review,WOS:A1975AR24700001,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,PA,BF,8,31,Yes,0,Serum cholesterol and Unspecified CHD 
274,HICKEY N, BRIT MED J, V3, P507, 10.1136/BMJ.3.5982.507,"STUDY OF CORONARY RISK-FACTORS RELATED TO PHYSICAL-ACTIVITY IN 15,171 MEN",1975,Article,WOS:A1975AN26300009,Yes,EXERCISE,CHD,EXERCISE,,,,,,,PA,,6,3,Yes,5,Physical activity 
275,KAGAN A, INT J EPIDEMIOL, V4, P271, 10.1093/IJE/4.4.271,SOME FACTORS RELATED TO CORONARY HEART-DISEASE INCIDENCE IN HONOLULU JAPANESE MEN - HONOLULU HEART STUDY,1975,Article,WOS:A1975BA69800004,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,BF,6,7,Yes,4,Body fatness and Unspecified CHD 
276,ARMSTRONG BK, J CHRON DIS, V28, P455, 10.1016/0021-9681(75)90056-9,"COMMODITY CONSUMPTION AND ISCHEMIC HEART-DISEASE MORTALITY, WITH SPECIAL REFERENCE TO DIETARY PRACTICES",1975,Article,WOS:A1975AU57900003,Yes,DIET,CHD,DIET,,,,D,,,,,5,4,Yes,3,Diet 
277,GOLDBOURT U, J CHRON DIS, V28, P217, 10.1016/0021-9681(75)90052-1,"CLINICAL MYOCARDIAL-INFARCTION OVER 5-YEAR PERIOD .3. MULTIVARIATE-ANALYSIS OF INCIDENCE, ISRAEL ISCHEMIC HEART-DISEASE STUDY",1975,Article,WOS:A1975W201400004,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,3,9,Yes,4,Body fatness and Unspecified CHD 
278,ARONOW WS, CIRCULATION, V51, P1038, 10.1161/01.CIR.51.6.1038,FOLLOW-UP OF MASS SCREENING FOR CORONARY RISK-FACTORS IN 1817 ADULTS,1975,Article,WOS:A1975AD84100011,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,S,,,,2,7,Yes,0,Serum cholesterol and Unspecified CHD 
279,BILLIMORIA JD, ATHEROSCLEROSIS, V21, P61, 10.1016/0021-9150(75)90094-5,"EFFECT OF CIGARETTE-SMOKING ON LIPIDS, LIPOPROTEINS, BLOOD-COAGULATION, FIBRINOLYSIS AND CELLULAR COMPONENTS OF HUMAN-BLOOD",1975,Article,WOS:A1975V351200005,Yes,SMOKING,BLOOD LIPIDS,SMOKING|BLOOD LIPIDS,,,,,S,,,,1,2,Yes,8,Smoking
280,NICHAMAN MZ, AM J EPIDEMIOL, V102, P491, 10.1093/OXFORDJOURNALS.AJE.A112187,"EPIDEMIOLOGIC STUDIES OF CORONARY HEART-DISEASE AND STROKE IN JAPANESE MEN LIVING IN JAPAN, HAWAII AND CALIFORNIA - DISTRIBUTION OF BIOCHEMICAL RISK-FACTORS",1975,Article,WOS:A1975AZ70600004,Yes,UNSPECIFIED,CHD|STROKE,Unspecified CHD,SC,,,,,,,,1,4,Yes,0,Serum cholesterol and Unspecified CHD 
281,KAUFMANN RL, DIABETES, V24, P672, 10.2337/DIABETES.24.7.672,PLASMA LIPID-LEVELS IN DIABETIC CHILDREN - EFFECT OF DIET RESTRICTED IN CHOLESTEROL AND SATURATED FATS,1975,Article,WOS:A1975AK55700011,Yes,DIET,BLOOD LIPIDS,DIET|BLOOD LIPIDS,,,,,,,,,0,2,Yes,0,Serum cholesterol and Unspecified CHD 
282,LEBOVITS B, SOC SCI MED, V9, P207, 10.1016/0037-7856(75)90024-4,PERSONALITY-CORRELATES OF CORONARY HEART-DISEASE - RE-EXAMINATION OF MMPI DATA,1975,Article,WOS:A1975AK85000002,Yes,PSYCHOSOCIAL,CHD,PSYCHOSOCIAL,,,,,,,,,0,3,Yes,7,Psychosocial
283,PEACOCK PB, PREV MED, V4, P183, 10.1016/0091-7435(75)90083-3,PREVENTIVE HEALTH-CARE STRATEGIES FOR HEALTH MAINTENANCE ORGANIZATIONS,1975,Article,WOS:A1975AL42500011,Yes,UNSPECIFIED,PUBLIC HEALTH,,SC,,,,,,,,0,3,Yes,1,Blood pressure and Unspecified CHD 
284,HEDSTRAND H, UPSALA J MED SCI, P1,,,STUDY OF MIDDLE-AGED MEN WITH PARTICULAR REFERENCE TO RISK-FACTORS FOR CARDIOVASCULAR-DISEASE,1975,Review,WOS:A1975BA94000001,Inaccessible,,,,,,,,,,,,0,13,Yes,1,Blood pressure and Unspecified CHD 
285,THOMAS CB, JOHNS HOPKINS MED J, V136, P193,,YOUTHFUL HYPERCHOLESTEROLEMIA - ITS ASSOCIATED CHARACTERISTICS AND ROLE IN PREMATURE MYOCARDIAL-INFARCTION,1975,Article,WOS:A1975AE82600002,Inaccessible,,,,,,,,,,,,0,10,Yes,7,Psychosocial
286,ULETT GA, ANN ALLERGY, V34, P150,,CYTOTOXIC TESTING AND LEUKOCYTE INCREASE AS AN INDEX TO FOOD SENSITIVITY .2. COFFEE AND TOBACCO,1975,Article,WOS:A1975V903200004,Inaccessible,,,,,,,,,,,,0,3,Yes,2,Caffeine 
287,KHALTAEV NG, TERAPEVT ARKH, V48, P142,,SPECIFIC FEATURES OF NUTRITION AS A RISK FACTOR OF ISCHEMIC HEART-DISEASE,1976,Article,WOS:A1976BZ51600028,Foreign,,,,,,,,,,,,0,8,Yes,1,Blood pressure and Unspecified CHD 
288,THELLE DS, ACTA MED SCAND, V200, P107,,TROMSO HEART STUDY - METHODS AND MAIN RESULTS OF CROSS-SECTIONAL STUDY,1976,Article,WOS:A1976CB79700019,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,PA,,1,3,Yes,4,Body fatness and Unspecified CHD 
289,SYED IB, J AM PHARM ASSOC, V16, P568, 10.1016/S0003-0465(16)33766-1,EFFECTS OF CAFFEINE,1976,Article,WOS:A1976CL01500009,Yes,CAFFEINE,UNSPECIFIED,CAFFEINE,,,C,,,,,,0,8,Yes,2,Caffeine 
290,STASON WB, AM J EPIDEMIOL, V104, P603, 10.1093/OXFORDJOURNALS.AJE.A112338,ALCOHOL CONSUMPTION AND NONFATAL MYOCARDIAL-INFARCTION,1976,Article,WOS:A1976CQ68600004,Yes,ALCOHOL,CHD,ALCOHOL,,,,,,A,,,19,2,Yes,6,Alcohol 
291,HENNEKENS CH, NEW ENGL J MED, V294, P633, 10.1056/NEJM197603182941203,COFFEE-DRINKING AND DEATH DUE TO CORONARY HEART-DISEASE,1976,Article,WOS:A1976BJ40300003,Yes,CAFFEINE,CHD,CAFFEINE,,,C,,,,,,9,4,Yes,2,Caffeine 
292,OSTRANDER LD, CIRCULATION, V53, P152, 10.1161/01.CIR.53.1.152,"CORONARY RISK-FACTORS IN A COMMUNITY - FINDINGS IN TECUMSEH, MICHIGAN",1976,Article,WOS:A1976BB49400023,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,,,,,4,5,Yes,1,Blood pressure and Unspecified CHD 
293,ABUZEID HAH, J CHRON DIS, V29, P395, 10.1016/0021-9681(76)90060-6,RELATION BETWEEN HEMOGLOBIN LEVEL AND RISK FOR ISCHEMIC HEART-DISEASE - PROSPECTIVE-STUDY,1976,Article,WOS:A1976BX98300005,Yes,OTHER BLOOD,CHD,Unspecified CHD,,,,,,,,,3,3,Yes,4,Body fatness and Unspecified CHD 
294,COOPER CL, J OCCUP PSYCHOL, V49, P11, 10.1111/J.2044-8325.1976.TB00325.X,OCCUPATIONAL SOURCES OF STRESS - REVIEW OF LITERATURE RELATING TO CORONARY HEART-DISEASE AND MENTAL ILL HEALTH,1976,Review,WOS:A1976BZ93100002,Yes,PSYCHOSOCIAL,CHD,PSYCHOSOCIAL,,,,,,,,,2,6,Yes,7,Psychosocial
295,ROSENMAN RH, CIRCULATION, V54, P51, 10.1161/01.CIR.54.1.51,STUDY OF COMPARATIVE BLOOD-PRESSURE MEASURES IN PREDICTING RISK OF CORONARY HEART-DISEASE,1976,Article,WOS:A1976BV45600009,Yes,HYPERTENSION,CHD,HYPERTENSION,,BP,,,,,,,2,6,Yes,4,Body fatness and Unspecified CHD 
296,TRUSWELL AS, POSTGRAD MED J, V52, P424, 10.1136/PGMJ.52.609.424,DIET IN PATHOGENESIS OF ISCHEMIC HEART-DISEASE,1976,Article,WOS:A1976BZ85300003,Yes,DIET,CHD,DIET,,,C,,,,,,1,10,Yes,3,Diet 
297,HORNS DJ, THROMB RES, V9, P661, 10.1016/0049-3848(76)90114-6,SMOKING AND PLATELET LABILE AGGREGATION STIMULATING SUBSTANCE (LASS) SYNTHESIZING ACTIVITY,1976,Note,WOS:A1976CQ87500014,Yes,SMOKING,OTHER BLOOD,SMOKING,,,,,S,,,,0,1,No,,
298,OSTRANDER LD, ARCH INTERN MED, V136, P415, 10.1001/ARCHINTE.136.4.415,DIABETES AMONG MEN IN A GENERAL POPULATION,1976,Article,WOS:A1976BN55100004,Yes,UNSPECIFIED,DIABETES,,SC,,,,,,,,0,4,Yes,1,Blood pressure and Unspecified CHD 
299,WEST RR, INT J EPIDEMIOL, V5, P195, 10.1093/IJE/5.2.195,MORTALITY FROM ISCHEMIC HEART-DISEASE - INTER-TOWN VARIATION AND ITS ASSOCIATION WITH CLIMATE IN ENGLAND AND WALES,1976,Article,WOS:A1976BX47700014,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,0,1,No,,
300,KLEVAY LM, NUTR REP INT, V14, P221,,COPPER-METABOLISM AND EPIDEMIOLOGY OF CORONARY HEART-DISEASE,1976,Article,WOS:A1976BZ49400012,Yes,DIET,CHD,DIET,,,,D,,,,,0,4,Yes,3,Diet 
301,[ANONYMOUS], MED J AUSTRALIA, V1, P643,,CORONARY RISK-FACTORS,1976,Editorial Material,WOS:A1976BQ06800001,Inaccessible,,,,,,,,,,,,0,4,Yes,5,Physical activity 
302,JUUSTILA H, ACTA MED SCAND, P4,,,"MEDICAL, OCCUPATIONAL AND SMOKING CHARACTERISTICS RELATED TO ISCHEMIC HEART-DISEASE IN MEN AND WOMEN - FIELD SURVEY OF AGE GROUP 40 - 59 IN A RURAL-POPULATION AT HAAPAVESI, NORTHERN-FINLAND",1977,Review,WOS:A1977EQ95600001,Inaccessible,,,,,,,,,,,,0,20,Yes,0,Serum cholesterol and Unspecified CHD 
303,SCHNEIDER J, INTERNIST, V18, P657,,ADEQUATE NUTRITION AS FACTOR INFLUENCING RISK-FACTORS,1977,Article,WOS:A1977EF50400006,Foreign,,,,,,,,,,,,0,8,Yes,4,Body fatness and Unspecified CHD 
304,YANO K, NEW ENGL J MED, V297, P405, 10.1056/NEJM197708252970801,"COFFEE, ALCOHOL AND RISK OF CORONARY HEART-DISEASE AMONG JAPANESE MEN LIVING IN HAWAII",1977,Article,WOS:A1977DS23800001,Yes,CAFFEINE|ALCOHOL,CHD,CAFFEINE|ALCOHOL,,,C,,,A,,,27,9,Yes,6,Alcohol 
305,DYER AR, CIRCULATION, V56, P1067, 10.1161/01.CIR.56.6.1067,"ALCOHOL CONSUMPTION, CARDIOVASCULAR RISK-FACTORS, AND MORTALITY IN 2 CHICAGO EPIDEMIOLOGIC STUDIES",1977,Article,WOS:A1977ED62100028,Yes,ALCOHOL,CHD,ALCOHOL,,,,,,,,,17,3,Yes,6,Alcohol 
306,KLATSKY AL, NEW ENGL J MED, V296, P1194, 10.1056/NEJM197705262962103,ALCOHOL CONSUMPTION AND BLOOD-PRESSURE - KAISER-PERMANENTE MULTIPHASIC HEALTH EXAMINATION DATA,1977,Article,WOS:A1977DF96000003,Yes,ALCOHOL,HYPERTENSION,ALCOHOL|HYPERTENSION,,,,,,A,,,12,3,Yes,6,Alcohol 
307,RABKIN SW, AM J CARDIOL, V39, P452, 10.1016/S0002-9149(77)80104-5,RELATION OF BODY-WEIGHT TO DEVELOPMENT OF ISCHEMIC HEART-DISEASE IN A COHORT OF YOUNG NORTH-AMERICAN MEN AFTER A 26-YEAR OBSERVATION PERIOD - MANITOBA STUDY,1977,Article,WOS:A1977CY23100019,Yes,BODY WEIGHT,CHD,BODY WEIGHT,,,,,,,,,8,7,Yes,4,Body fatness and Unspecified CHD 
308,GARCIAPALMIERI MR, AM J CLIN NUTR, V30, P2092,,NUTRIENT INTAKE AND SERUM-LIPIDS IN URBAN AND RURAL PUERTO-RICAN MEN,1977,Article,WOS:A1977ED82400033,Yes,DIET,BLOOD LIPIDS,DIET|BLOOD LIPIDS,,,,,,,,,6,3,Yes,3,Diet 
309,HENNEKENS CH, INT J EPIDEMIOL, V6, P243, 10.1093/IJE/6.3.243,RETROSPECTIVE STUDY OF PHYSICAL-ACTIVITY AND CORONARY DEATHS,1977,Article,WOS:A1977EB64400009,Yes,EXERCISE,CHD,EXERCISE,,,,,,,PA,,2,2,Yes,5,Physical activity 
310,MACCORNACK FA, PREV MED, V6, P104, 10.1016/0091-7435(77)90008-1,EFFECTS OF COFFEE-DRINKING ON CARDIOVASCULAR-SYSTEM - EXPERIMENTAL AND EPIDEMIOLOGICAL RESEARCH,1977,Article,WOS:A1977DB93400008,Yes,CAFFEINE,CHD,CAFFEINE,SC,BP,C,D,S,,,BF,2,12,Yes,2,Caffeine 
311,SEGALL JJ, BRIT J PREV SOC MED, V31, P81,,MILK A CORONARY HEALTH-HAZARD,1977,Article,WOS:A1977DP15000002,Yes,DIET,CHD,DIET,,,C,,,,,,2,3,Yes,2,Caffeine 
312,CREPALDI G, ATHEROSCLEROSIS, V26, P593, 10.1016/0021-9150(77)90126-5,PREVALENCE OF CORONARY-ARTERY DISEASE AND PERIPHERAL ARTERY DISEASE IN PATIENTS WITH DIFFERENT TYPES OF PRIMARY HYPERLIPIDEMIA,1977,Article,WOS:A1977DC85300017,Yes,BLOOD LIPIDS,CHD,BLOOD LIPIDS,SC,,,,,,,,1,4,Yes,1,Blood pressure and Unspecified CHD 
313,WURZNER HP, FOOD COSMET TOXICOL, V15, P7, 10.1016/S0015-6264(77)80256-3,"2-YEAR FEEDING STUDY OF INSTANT COFFEES IN RATS .1. BODY-WEIGHT, FOOD-CONSUMPTION, HEMATOLOGICAL PARAMETERS AND PLASMA CHEMISTRY",1977,Article,WOS:A1977CZ82100002,Yes,CAFFEINE,BLOOD LIPIDS|BODY WEIGHT|DIET|OTHER BLOOD,CAFFEINE|DIET|BLOOD LIPIDS,,,C,,,,,,1,4,Yes,2,Caffeine 
314,LEONHARDT H, ATHEROSCLEROSIS, V28, P29, 10.1016/0021-9150(77)90196-4,STUDIES OF PLASMA VISCOSITY IN PRIMARY HYPERLIPOPROTEINEMIA,1977,Article,WOS:A1977DV98000003,Yes,UNSPECIFIED,BLOOD LIPIDS,BLOOD LIPIDS,,,,,,,,,0,2,Yes,0,Serum cholesterol and Unspecified CHD 
315,SALEL AF, NEW ENGL J MED, V296, P1447, 10.1056/NEJM197706232962507,ACCURACY OF NUMERICAL CORONARY PROFILE - CORRELATION OF RISK-FACTORS WITH ARTERIOGRAPHICALLY DOCUMENTED SEVERITY OF ATHEROSCLEROSIS,1977,Article,WOS:A1977DK28700007,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,0,2,Yes,4,Body fatness and Unspecified CHD 
316,SHAPER AG, BMJ-BRIT MED J, V1, P867, 10.1136/BMJ.1.6065.867,DIETARY RECOMMENDATIONS FOR COMMUNITY TOWARDS POSTPONEMENT OF CORONARY HEART-DISEASE,1977,Review,WOS:A1977DA33500007,Yes,DIET,CHD,DIET,SC,,,D,,,,,0,7,Yes,4,Body fatness and Unspecified CHD 
317,TURNER TB, JOHNS HOPKINS MED J, V141, P235,,MEASUREMENT OF ALCOHOL-RELATED EFFECTS IN MAN - CHRONIC EFFECTS IN RELATION TO LEVELS OF ALCOHOL CONSUMPTION .A.,1977,Article,WOS:A1977EC01500001,Inaccessible,,,,,,,,,,,,1,5,Yes,6,Alcohol 
318,ELHAG N, NUTR REP INT, V15, P89,,EFFECT OF TEA ON SERUM-CHOLESTEROL USING A HYPER-CHOLESTEROLEMIC RAT MODEL,1977,Article,WOS:A1977CT48300012,Inaccessible,,,,,,,,,,,,0,5,Yes,2,Caffeine 
319,BERTRAND CA, NEW YORK STATE J MED, V77, P2063,,ELECTROCARDIOGRAM IN MULTIPHASIC HEALTH TESTING,1977,Article,WOS:A1977EA17400006,Inaccessible,,,,,,,,,,,,0,1,No,,
320,SCHWALB H, MED KLIN, V73, P1203,,SPORT AND CARDIAC RISK-FACTORS IN MIDDLE-AGE,1978,Article,WOS:A1978FL82300003,Foreign,,,,,,,,,,,,0,3,Yes,5,Physical activity 
321,LIU K, J CHRON DIS, V31, P399, 10.1016/0021-9681(78)90004-8,STATISTICAL-METHODS TO ASSESS AND MINIMIZE ROLE OF INTRA-INDIVIDUAL VARIABILITY IN OBSCURING RELATIONSHIP BETWEEN DIETARY LIPIDS AND SERUM-CHOLESTEROL,1978,Article,WOS:A1978FV14500004,Yes,DIET,BLOOD LIPIDS,DIET|BLOOD LIPIDS,,,,,,,,,15,4,Yes,3,Diet 
322,[ANONYMOUS], J CHRON DIS, V31, P201,,"RELATIONSHIP OF BLOOD-PRESSURE, SERUM-CHOLESTEROL, SMOKING HABIT, RELATIVE WEIGHT AND ECG ABNORMALITIES TO INCIDENCE OF MAJOR CORONARY EVENTS - FINAL REPORT OF POOLING PROJECT",1978,Article,WOS:A1978FM97500001,Yes,BLOOD LIPIDS|HYPERTENSION|SMOKING|BODY WEIGHT|ECG,CHD,BLOOD LIPIDS|HYPERTENSION|BODY WEIGHT|SMOKING,,,,,,,,,11,6,Yes,4,Body fatness and Unspecified CHD 
323,HENNEKENS CH, AM J EPIDEMIOL, V107, P196, 10.1093/OXFORDJOURNALS.AJE.A112525,DAILY ALCOHOL CONSUMPTION AND FATAL CORONARY HEART-DISEASE,1978,Article,WOS:A1978ES23300002,Yes,ALCOHOL,CHD,ALCOHOL,,,,,,A,,,11,5,Yes,6,Alcohol 
324,CONNOR WE, AM J CLIN NUTR, V31, P1131,,"PLASMA-LIPIDS, LIPOPROTEINS, AND DIET OF TARAHUMARA INDIANS OF MEXICO",1978,Article,WOS:A1978FG44600008,Yes,DIET,BLOOD LIPIDS,DIET|BLOOD LIPIDS,SC,,,,,,,,10,3,Yes,3,Diet 
325,YANO K, AM J CLIN NUTR, V31, P1270,,DIETARY INTAKE AND RISK OF CORONARY HEART-DISEASE IN JAPANESE MEN LIVING IN HAWAII,1978,Article,WOS:A1978FG44600024,Yes,DIET,CHD,DIET,,,,D,,,,,10,12,Yes,3,Diet 
326,TRUSWELL AS, AM J CLIN NUTR, V31, P977,,DIET AND PLASMA-LIPIDS - REAPPRAISAL,1978,Review,WOS:A1978FC83400011,Yes,DIET,BLOOD LIPIDS,DIET|BLOOD LIPIDS,SC,,,,,,,,3,17,Yes,2,Caffeine 
327,GLUECK CJ, AM J CLIN NUTR, V31, P727,,DIET CORONARY HEART-DISEASE RELATIONSHIPS RECONNOITERED,1978,Review,WOS:A1978EZ61600001,Yes,DIET,CHD,DIET,SC,,,D,,,,,2,9,Yes,3,Diet 
328,BRESLOW JL, PEDIATRICS, V62, P510,,PEDIATRIC ASPECTS OF HYPERLIPIDEMIA,1978,Article,WOS:A1978FS89700013,Yes,UNSPECIFIED,BLOOD LIPIDS,BLOOD LIPIDS,SC,BP,,,S,,,,1,8,Yes,0,Serum cholesterol and Unspecified CHD 
329,RABKIN SW, ANN INTERN MED, V88, P342, 10.7326/0003-4819-88-3-342,PREDICTING RISK OF ISCHEMIC HEART-DISEASE AND CEREBROVASCULAR-DISEASE FROM SYSTOLIC AND DIASTOLIC BLOOD PRESSURES,1978,Article,WOS:A1978EQ33300010,Yes,HYPERTENSION,CHD|STROKE,HYPERTENSION,,BP,,,,,,,1,9,Yes,4,Body fatness and Unspecified CHD 
330,BROOKS SH, ARCH SURG-CHICAGO, V113, P75,,DETERMINANTS OF ATHEROSCLEROSIS PROGRESSION AND REGRESSION,1978,Article,WOS:A1978EG69800013,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,S,,,,0,1,No,,
331,COOPER CL, J OCCUP ENVIRON MED, V20, P420,,PREVENTION AND COPING WITH OCCUPATIONAL STRESS,1978,Article,WOS:A1978FB43500012,Yes,PSYCHOSOCIAL,UNSPECIFIED,PSYCHOSOCIAL,,,,,,,PA,,0,8,Yes,7,Psychosocial
332,THULIN T, POSTGRAD MED J, V54, P10, 10.1136/PGMJ.54.627.10,ASSESSMENT OF CASUAL BLOOD-PRESSURE VARIATIONS,1978,Article,WOS:A1978EK57200003,Yes,UNSPECIFIED,HYPERTENSION,HYPERTENSION,,,,,,,,,0,1,No,,
333,VAISRUB S, ARCH INTERN MED, V138, P1471, 10.1001/ARCHINTE.138.10.1471,COFFEE - GROUNDS FOR REASSURANCE,1978,Editorial Material,WOS:A1978FS50700003,Yes,CAFFEINE,UNSPECIFIED,CAFFEINE,,,C,,,,,,0,2,Yes,2,Caffeine 
334,WILHELMSSON C, J CHRON DIS, V31, P157, 10.1016/0021-9681(78)90030-9,HYPERTENSION AND MYOCARDIAL-INFARCTION,1978,Article,WOS:A1978FJ14200004,Yes,HYPERTENSION,CHD,HYPERTENSION,,BP,,,,,,,0,5,Yes,1,Blood pressure and Unspecified CHD 
335,OSTFELD AM, NEW YORK STATE J MED, V78, P1125,,ELDERLY HYPERTENSIVE PATIENT - EPIDEMIOLOGIC REVIEW,1978,Review,WOS:A1978FC49900025,Inaccessible,,,,,,,,,,,,1,5,Yes,0,Serum cholesterol and Unspecified CHD 
336,SEGALL JJ, BRIT J CLIN PRACT, V32, P15,,CONSUMPTION OF BEVERAGES AND CIGARETTES BY CORONARY PATIENTS - PILOT-STUDY,1978,Article,WOS:A1978EQ27500002,Inaccessible,,,,,,,,,,,,0,7,Yes,2,Caffeine 
337,WILKENS HJ, CIRC SHOCK, V5, P125,,"FIBRINOLYSIS AND RISK-FACTORS OF ATHEROSCLEROTIC DISEASE, WITH SPECIAL EMPHASIS ON DIABETES-MELLITUS",1978,Review,WOS:A1978EZ84000004,Inaccessible,,,,,,,,,,,,0,15,Yes,0,Serum cholesterol and Unspecified CHD 
338,ENTRICAN JH, SCOT MED J, V24, P273, 10.1177/003693307902400405,CIRCANNUAL RHYTHM OF ARTERIAL AND VENOUS THROMBOEMBOLIC DISEASE,1979,Article,WOS:A1979HS12300004,Yes,CIRCANNUAL RHYTHM,CHD,Unspecified CHD,,,,,,,,,0,1,No,,
339,ERIKSSEN J, EUR J APPL PHYSIOL O, V42, P61, 10.1007/BF00421105,RESTING HEART-RATE IN APPARENTLY HEALTHY MIDDLE-AGED MEN,1979,Article,WOS:A1979HN15900007,Yes,HEART RATE,UNSPECIFIED,,,,,,,,,,0,1,No,,
340,JACOBS DR, AM J EPIDEMIOL, V110, P77, 10.1093/OXFORDJOURNALS.AJE.A112791,DIET AND SERUM-CHOLESTEROL - DO ZERO CORRELATIONS NEGATE THE RELATIONSHIP,1979,Article,WOS:A1979HD18400010,Yes,DIET,CHD,DIET,SC,,,,,,,,9,6,Yes,3,Diet 
341,KANNEL WB, ANN INTERN MED, V90, P85, 10.7326/0003-4819-90-1-85,CHOLESTEROL IN THE PREDICTION OF ATHEROSCLEROTIC DISEASE - NEW PERSPECTIVES BASED ON THE FRAMINGHAM STUDY,1979,Review,WOS:A1979GD91400022,Yes,BLOOD LIPIDS,CHD,BLOOD LIPIDS,SC,,,,,,,,6,3,Yes,0,Serum cholesterol and Unspecified CHD 
